Name,AthleteUrl,Gender,Height,Active,Participations,Age,Country
Selma ELHADJ MIMOUNE,https://ifsc.results.info/#/athlete/12451,Women,166,2021,22,19,FRA
Agathe CALLIET,https://ifsc.results.info/#/athlete/11653,Women,158,2019,22,20,FRA
Fanny GIBERT,https://ifsc.results.info/#/athlete/469,Women,165,2010,113,30,FRA
Jennifer WOOD,https://ifsc.results.info/#/athlete/653,Women,-,2012,65,29,GBR
Zoe PEETERMANS,https://ifsc.results.info/#/athlete/739,Women,-,2018,18,22,GBR
Erin MCNEICE,https://ifsc.results.info/#/athlete/11468,Women,160,2019,33,19,GBR
Anna LECHNER,https://ifsc.results.info/#/athlete/2021,Women,171,2018,12,20,GER
Lucia DÖRFFEL,https://ifsc.results.info/#/athlete/4330,Women,165,2015,68,23,GER
Roxana WIENAND,https://ifsc.results.info/#/athlete/4320,Women,162,2017,46,23,GER
Hannah MEUL,https://ifsc.results.info/#/athlete/3113,Women,167,2015,87,22,GER
Prateeksha ARUN,https://ifsc.results.info/#/athlete/2651,Women,-,2017,13,25,IND
Noa SHIRAN,https://ifsc.results.info/#/athlete/4002,Women,170,2015,70,22,ISR
Ayala KEREM,https://ifsc.results.info/#/athlete/4017,Women,163,2017,40,22,ISR
Yael TAUB,https://ifsc.results.info/#/athlete/3986,Women,-,2011,36,27,ISR
Giorgia TESIO,https://ifsc.results.info/#/athlete/914,Women,165,2014,77,23,ITA
Camilla MORONI,https://ifsc.results.info/#/athlete/947,Women,157,2015,62,22,ITA
Laura ROGORA,https://ifsc.results.info/#/athlete/928,Women,152,2015,119,22,ITA
Ai MORI,https://ifsc.results.info/#/athlete/2380,Women,154,2017,42,20,JPN
Mia AOYAGI,https://ifsc.results.info/#/athlete/13321,Women,-,2022,17,20,JPN
Anon MATSUFUJI,https://ifsc.results.info/#/athlete/12297,Women,160,2022,15,20,JPN
Ryu NAKAGAWA,https://ifsc.results.info/#/athlete/11783,Women,171,2019,38,19,JPN
Melody SEKIKAWA,https://ifsc.results.info/#/athlete/14008,Women,-,2022,9,16,JPN
Mashiro KUZUU,https://ifsc.results.info/#/athlete/13992,Women,-,2022,11,19,JPN
Serika OKAWACHI,https://ifsc.results.info/#/athlete/2349,Women,158,2016,11,25,JPN
Nonoha KUME,https://ifsc.results.info/#/athlete/13041,Women,161,2021,14,20,JPN
Futaba ITO,https://ifsc.results.info/#/athlete/2357,Women,162,2016,92,21,JPN
Miho NONAKA,https://ifsc.results.info/#/athlete/2294,Women,163,2013,114,26,JPN
Nanako KURA,https://ifsc.results.info/#/athlete/2343,Women,160,2016,48,23,JPN
Chaehyun SEO,https://ifsc.results.info/#/athlete/2080,Women,163,2017,58,20,KOR
Gayeong OH,https://ifsc.results.info/#/athlete/13556,Women,169,2022,16,17,KOR
Yejoo SEO,https://ifsc.results.info/#/athlete/13558,Women,160,2022,21,17,KOR
Sol SA,https://ifsc.results.info/#/athlete/2047,Women,-,2009,115,29,KOR
Regine STORÅ,https://ifsc.results.info/#/athlete/11479,Women,-,2019,20,22,NOR
Ingrid KINDLIHAGEN,https://ifsc.results.info/#/athlete/3086,Women,-,2016,58,21,NOR
Liana Nicole MORA,https://ifsc.results.info/#/athlete/3832,Women,-,2018,8,33,PHI
Bianka JANECKA,https://ifsc.results.info/#/athlete/2908,Women,-,2017,45,20,POL
Elizabeth SEPULVEDA,https://ifsc.results.info/#/athlete/12484,Women,-,2021,28,21,PUR
Sara COPAR,https://ifsc.results.info/#/athlete/11546,Women,168,2019,58,18,SLO
Katja DEBEVEC,https://ifsc.results.info/#/athlete/1130,Women,173,2009,109,28,SLO
Mia KRAMPL,https://ifsc.results.info/#/athlete/1161,Women,163,2015,106,23,SLO
Stasa GEJO,https://ifsc.results.info/#/athlete/3840,Women,175,2011,121,26,SRB
Liv EGLI,https://ifsc.results.info/#/athlete/3881,Women,164,2017,53,20,SUI
Andrea KÜMIN,https://ifsc.results.info/#/athlete/3254,Women,164,2011,111,26,SUI
Petra KLINGLER,https://ifsc.results.info/#/athlete/3246,Women,162,2006,151,31,SUI
Sofya YOKOYAMA,https://ifsc.results.info/#/athlete/4260,Women,-,2013,64,25,SUI
Ting-chen YAO,https://ifsc.results.info/#/athlete/2160,Women,-,2017,8,22,TPE
Hung Ying LEE,https://ifsc.results.info/#/athlete/2139,Women,170,2006,136,38,TPE
Ievgeniia KAZBEKOVA,https://ifsc.results.info/#/athlete/1486,Women,164,2010,118,27,UKR
Kylie CULLEN,https://ifsc.results.info/#/athlete/12537,Women,165,2021,34,19,USA
Brooke RABOUTOU,https://ifsc.results.info/#/athlete/1811,Women,158,2015,75,22,USA
Natalia GROSSMAN,https://ifsc.results.info/#/athlete/1803,Women,162,2015,58,22,USA
Anastasia SANDERS,https://ifsc.results.info/#/athlete/13021,Women,162,2021,18,16,USA
Kyra CONDIE,https://ifsc.results.info/#/athlete/1750,Women,162,2012,88,27,USA
Cloe COSCOY,https://ifsc.results.info/#/athlete/11813,Women,-,2019,30,22,USA
Lasse VON FREIER,https://ifsc.results.info/#/athlete/3778,Men,-,2017,27,21,GER
Cheuk-hei HO,https://ifsc.results.info/#/athlete/2219,Men,-,2013,33,25,HKG
Michael O'NEILL,https://ifsc.results.info/#/athlete/2597,Men,174,2017,28,23,IRL
Yunchan SONG,https://ifsc.results.info/#/athlete/14018,Men,168,2022,17,16,KOR
Hongil KIM,https://ifsc.results.info/#/athlete/2045,Men,-,2008,24,29,KOR
Hanwool KIM,https://ifsc.results.info/#/athlete/2041,Men,-,2009,77,28,KOR
Minyoung LEE,https://ifsc.results.info/#/athlete/2057,Men,-,2013,35,24,KOR
Minsung HAN,https://ifsc.results.info/#/athlete/13553,Men,-,2022,12,23,KOR
Christopher COSSER,https://ifsc.results.info/#/athlete/1058,Men,178,2014,38,23,RSA
Chia Hsiang LIN,https://ifsc.results.info/#/athlete/2146,Men,-,2015,39,25,TPE
Ross FULKERSON,https://ifsc.results.info/#/athlete/1871,Men,183,2016,35,22,USA
Valentin STERNIK,https://ifsc.results.info/#/athlete/3169,Men,-,2017,27,22,ARG
Lukas KNAPP,https://ifsc.results.info/#/athlete/1263,Men,-,2014,48,26,AUT
Tobias PLANGGER,https://ifsc.results.info/#/athlete/1278,Men,182,2015,66,23,AUT
Michael FINN-HENRY,https://ifsc.results.info/#/athlete/1843,Men,193,2016,23,24,CAN
Adrien LEVESQUE,https://ifsc.results.info/#/athlete/13932,Men,-,2022,3,18,CAN
Ethan PITCHER,https://ifsc.results.info/#/athlete/11893,Men,187,2019,15,22,CAN
Dylan LE,https://ifsc.results.info/#/athlete/11854,Men,-,2019,17,18,CAN
Jinbao LONG,https://ifsc.results.info/#/athlete/11460,Men,-,2019,19,23,CHN
Jianguo LONG,https://ifsc.results.info/#/athlete/11395,Men,-,2018,14,20,CHN
Xinshang WANG,https://ifsc.results.info/#/athlete/14416,Men,-,2023,9,18,CHN
Minhui WANG,https://ifsc.results.info/#/athlete/11938,Men,-,2019,11,20,CHN
Peng WU,https://ifsc.results.info/#/athlete/13598,Men,-,2022,11,21,CHN
Long CAO,https://ifsc.results.info/#/athlete/11414,Men,-,2018,20,23,CHN
Liang ZHANG,https://ifsc.results.info/#/athlete/11409,Men,-,2018,18,20,CHN
Jan KRIZ,https://ifsc.results.info/#/athlete/1372,Men,190,2010,90,27,CZE
